"","taxa","num_entries","perc_dataset","num_papers","perc_papers"
"1","Birds",364,0.474576271186441,37,0.282442748091603
"2","Invertebrates",161,0.209908735332464,29,0.221374045801527
"3","Plants/Trees/Shrubs",85,0.110821382007823,30,0.229007633587786
"4","Fish",75,0.0977835723598435,15,0.114503816793893
"5","Mammals",55,0.0717079530638853,15,0.114503816793893
"6","Multiple",17,0.0221642764015645,5,0.0381679389312977
"7","Reptiles",9,0.0117340286831812,4,0.0305343511450382
"8","Amphibians",1,0.00130378096479791,1,0.00763358778625954
