"","taxa","num_taxonomic","perc_taxonomic","num_functional","perc_functional","num_1sp","perc_1sp","num_multsp","perc_multsp","num_hab","perc_hab"
"1","Amphibians",5,0.00637755102040816,0,0,0,0,5,0.00637755102040816,4,0.00510204081632653
"2","Birds",340,0.433673469387755,38,0.048469387755102,276,0.352040816326531,99,0.126275510204082,23,0.0293367346938776
"3","Fish",73,0.0931122448979592,14,0.0178571428571429,34,0.0433673469387755,53,0.0676020408163265,2,0.00255102040816327
"4","Invertebrates",151,0.192602040816327,7,0.00892857142857143,54,0.0688775510204082,99,0.126275510204082,11,0.014030612244898
"5","Mammals",43,0.0548469387755102,6,0.0076530612244898,31,0.0395408163265306,19,0.024234693877551,5,0.00637755102040816
"6","Multiple",18,0.0229591836734694,1,0.00127551020408163,2,0.00255102040816327,17,0.0216836734693878,2,0.00255102040816327
"7","Plants/Trees/Shrubs",71,0.0905612244897959,6,0.0076530612244898,14,0.0178571428571429,65,0.0829081632653061,12,0.0153061224489796
"8","Reptiles",10,0.0127551020408163,1,0.00127551020408163,7,0.00892857142857143,4,0.00510204081632653,1,0.00127551020408163
