"","taxa","num_entries","perc_dataset","num_papers","perc_papers"
"1","Birds",378,0.482142857142857,44,0.293333333333333
"2","Invertebrates",158,0.201530612244898,31,0.206666666666667
"3","Fish",87,0.110969387755102,17,0.113333333333333
"4","Plants/Trees/Shrubs",77,0.0982142857142857,33,0.22
"5","Mammals",49,0.0625,17,0.113333333333333
"6","Multiple",19,0.024234693877551,7,0.0466666666666667
"7","Reptiles",11,0.014030612244898,5,0.0333333333333333
"8","Amphibians",5,0.00637755102040816,2,0.0133333333333333
