"list_countries","paper_id","key","iso_fao","coder_id"
"Unclear",6511,"X1",NA,"C_Hovis"
"",4574,"X3",NA,"E_Xing"
"Recreatio",396,"X2",NA,"M_Lei"
"Tourism",396,"X1",NA,"M_Lei"
"Tourists",2284,"X1",NA,"M_Lei"
